Id,SalePrice
1461,107761.18
1462,161658.3
1463,201338.34
1464,188893.47
1465,173927.58
1466,166953.33
1467,164125.9
1468,171107.86
1469,188072.44
1470,127669.18
1471,211562.08
1472,100493.266
1473,98367.305
1474,139655.38
1475,106072.516
1476,364174.7
1477,242267.84
1478,278080.9
1479,312526.4
1480,507103.62
1481,346026.4
1482,208914.05
1483,164499.1
1484,167428.22
1485,193249.83
1486,199453.36
1487,378871.84
1488,236797.67
1489,190641.2
1490,255908.56
1491,179105.31
1492,88033.836
1493,165248.2
1494,277719.62
1495,274076.47
1496,261348.98
1497,180644.39
1498,157433.81
1499,155593.67
1500,159211.58
1501,175590.06
1502,150866.22
1503,299919.12
1504,222323.94
1505,245610.36
1506,177240.23
1507,255406.48
1508,202343.38
1509,143959.4
1510,147502.36
1511,152762.33
1512,162891.72
1513,133940.36
1514,114625.77
1515,180824.69
1516,156143.39
1517,154681.75
1518,128323.19
1519,226905.34
1520,142471.34
1521,133972.81
1522,165244.22
1523,110452.836
1524,105401.6
1525,114694.64
1526,110406.67
1527,103365.586
1528,117057.89
1529,143870.22
1530,158355.22
1531,135998.28
1532,111145.51
1533,149568.23
1534,113750.59
1535,142733.61
1536,106967.04
1537,88182.57
1538,131276.67
1539,161771.53
1540,136063.56
1541,122852.29
1542,124317.65
1543,172133.88
1544,80612.83
1545,105216.13
1546,124432.86
1547,140344.66
1548,113811.57
1549,99429.76
1550,138157.55
1551,116813.73
1552,150268.06
1553,159319.33
1554,99439.97
1555,161641.05
1556,113849.93
1557,98658.67
1558,97899.445
1559,120656.74
1560,140016.02
1561,108786.62
1562,120665.51
1563,113098.08
1564,168928.9
1565,149284.05
1566,218060.19
1567,79684.445
1568,256958.28
1569,151132.69
1570,126977.11
1571,99457.02
1572,152316.16
1573,228534.05
1574,131358.25
1575,212058.33
1576,229386.55
1577,182838.45
1578,138161.36
1579,138673.86
1580,184814.06
1581,159893.97
1582,122839.03
1583,354938.4
1584,215324.23
1585,150608.9
1586,74226.32
1587,94494.32
1588,158979.42
1589,99912.12
1590,125043.18
1591,97038.82
1592,109973.12
1593,115859.22
1594,161866.86
1595,134260.36
1596,201983.12
1597,202832.8
1598,176015.52
1599,164814.33
1600,163769.0
1601,80997.54
1602,98326.445
1603,91449.6
1604,268110.7
1605,228210.1
1606,155711.3
1607,176457.7
1608,207109.89
1609,175575.67
1610,150493.92
1611,125501.13
1612,169474.55
1613,162816.58
1614,127955.73
1615,87415.62
1616,85100.94
1617,95476.65
1618,116483.19
1619,135236.84
1620,199447.69
1621,131287.81
1622,141211.69
1623,262456.8
1624,257146.23
1625,114231.98
1626,169005.98
1627,188335.5
1628,283145.88
1629,159435.38
1630,402828.97
1631,197035.61
1632,242769.28
1633,170743.62
1634,198408.23
1635,178907.94
1636,156081.03
1637,195164.75
1638,184375.89
1639,181162.5
1640,240593.23
1641,174505.78
1642,231630.64
1643,217302.25
1644,217668.97
1645,176970.77
1646,151875.34
1647,149242.25
1648,136555.11
1649,136558.3
1650,118944.195
1651,108180.42
1652,95942.53
1653,96542.1
1654,138167.8
1655,140358.44
1656,132729.05
1657,135214.95
1658,145875.45
1659,107781.12
1660,155919.9
1661,444179.34
1662,380231.16
1663,389636.03
1664,541699.06
1665,283860.0
1666,337635.47
1667,350619.97
1668,327197.16
1669,287346.53
1670,348368.44
1671,299967.16
1672,504411.12
1673,296368.16
1674,255740.69
1675,214020.56
1676,214980.08
1677,231245.38
1678,540202.8
1679,426678.66
1680,308528.03
1681,224834.22
1682,312041.06
1683,199217.94
1684,180130.56
1685,179361.2
1686,179234.0
1687,172418.86
1688,197569.72
1689,188360.94
1690,202303.94
1691,179982.77
1692,259362.81
1693,170942.42
1694,187714.03
1695,148310.69
1696,282271.4
1697,150386.19
1698,340118.16
1699,292114.97
1700,246402.4
